file,pred_label
subtomo_0000.mrc,1
subtomo_0001.mrc,1
subtomo_0002.mrc,1
subtomo_0003.mrc,3
subtomo_0004.mrc,1
subtomo_0005.mrc,3
subtomo_0006.mrc,1
subtomo_0007.mrc,2
subtomo_0008.mrc,3
subtomo_0009.mrc,1
subtomo_0010.mrc,2
subtomo_0011.mrc,1
subtomo_0012.mrc,1
subtomo_0013.mrc,2
subtomo_0014.mrc,1
subtomo_0015.mrc,1
subtomo_0016.mrc,1
subtomo_0017.mrc,1
subtomo_0018.mrc,1
subtomo_0019.mrc,1
subtomo_0020.mrc,1
subtomo_0021.mrc,1
subtomo_0022.mrc,1
subtomo_0023.mrc,1
subtomo_0024.mrc,1
subtomo_0025.mrc,1
subtomo_0026.mrc,1
subtomo_0027.mrc,1
subtomo_0028.mrc,1
subtomo_0029.mrc,1
subtomo_0030.mrc,1
subtomo_0031.mrc,1
subtomo_0032.mrc,1
subtomo_0033.mrc,1
subtomo_0034.mrc,1
subtomo_0035.mrc,1
subtomo_0036.mrc,1
subtomo_0037.mrc,2
subtomo_0038.mrc,1
subtomo_0039.mrc,1
subtomo_0040.mrc,1
subtomo_0041.mrc,3
subtomo_0042.mrc,2
subtomo_0043.mrc,1
subtomo_0044.mrc,3
subtomo_0045.mrc,2
subtomo_0046.mrc,1
subtomo_0047.mrc,3
subtomo_0048.mrc,2
subtomo_0049.mrc,1
subtomo_0050.mrc,1
subtomo_0051.mrc,1
subtomo_0052.mrc,1
subtomo_0053.mrc,2
subtomo_0054.mrc,1
subtomo_0055.mrc,1
subtomo_0056.mrc,1
subtomo_0057.mrc,1
subtomo_0058.mrc,1
subtomo_0059.mrc,2
subtomo_0060.mrc,1
subtomo_0061.mrc,1
subtomo_0062.mrc,1
subtomo_0063.mrc,1
subtomo_0064.mrc,2
subtomo_0065.mrc,1
subtomo_0066.mrc,2
subtomo_0067.mrc,1
subtomo_0068.mrc,1
subtomo_0069.mrc,1
subtomo_0070.mrc,2
subtomo_0071.mrc,2
subtomo_0072.mrc,1
subtomo_0073.mrc,1
subtomo_0074.mrc,1
subtomo_0075.mrc,1
subtomo_0076.mrc,2
subtomo_0077.mrc,1
subtomo_0078.mrc,2
subtomo_0079.mrc,1
subtomo_0080.mrc,1
subtomo_0081.mrc,1
subtomo_0082.mrc,1
subtomo_0083.mrc,1
subtomo_0084.mrc,2
subtomo_0085.mrc,2
subtomo_0086.mrc,1
subtomo_0087.mrc,2
subtomo_0088.mrc,1
subtomo_0089.mrc,1
